Species,Trait_resolution,SZ_L_0.25cm,SZ_0.25_0.5cm,SZ_0.5_1cm,SZ_1_2cm,SZ_2_4.cm,LOCO_full_water_swimmer,LOCO_crawler,LOCO_burrower,LOCO_interstitial,LOCO_temporarily.attached,LOCO_permanently_attached,FOOD_microorganisms,FOOD_detritus,FOOD_plant_detritus,FOOD_living_microphytes,FOOD_living_macrophytes,FOOD_dead_animals,FOOD_living_microinvertebrates,FOOD_living_macroinvertebrates,FH_deposit_feeder,FH_shredder,FH_scraper,FH_filter_feeder,FH_piercer,FH_predator,FH_parasite
Agapetus delicatulus,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agapetus fuscipes,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agapetus ochripes,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agraylea multipunctata,Genus,0,3,1,0,0,1,3,0,0,1,0,0,2,0,2,4,0,0,0,1,0,0,0,3,0,0
Agraylea sexmaculata,Genus,0,3,1,0,0,1,3,0,0,1,0,0,2,0,2,4,0,0,0,1,0,0,0,3,0,0
Agrypnia obsoleta,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Agrypnia pagetana,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Agrypnia varia,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Odontocerum albicorne,Species,0,0,0,3,1,0,3,2,0,0,0,0,0,0,1,3,0,3,2,0,3,0,0,0,3,0
Allogamus auricollis,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,3,2,1,0,0,2,0,3,1,0,0,1,0
Anabolia nervosa,Genus,0,0,0,2,3,0,5,0,0,0,0,0,1,3,3,3,0,0,1,1,3,2,0,0,1,0
Apatania muliebris,Genus,0,0,3,1,0,0,5,0,0,1,0,0,1,1,4,1,0,0,1,1,0,3,0,0,1,0
Athripsodes albifrons,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
Athripsodes aterrimus,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
