Name,Trait_resolution,Time_on_flower,Nectar_foraging_behv,Pollen_foraging_behv,Stigmal_contact_behv,Dry_pollen_on_body,Hairiness_index,ITD_mm,tongue_length,Corbicula_propodeal
Apis mellifera,Species,3.66,0.98,0.06,0.4,0.78,0.917,3.65,medium,0
Andrena angustior,Genus,8.2,0.9,0.55,0.89,0.88,0.792,1.88,short,1
Andrena bicolor,Genus,8.2,0.9,0.55,0.89,0.88,0.792,2.13,short,1
Andrena scotica,Species,7.17,0.95,0.53,0.9,0.96,0.792,2.73,short,1
Andrena chrysosceles,Species,16,1,1,1,1,0.709,2.14,short,1
Andrena cineraria,Species,7.15,0.87,0.45,0.87,0.82,0.75,2.83,short,1
Andrena congruens,Genus,8.2,0.9,0.55,0.89,0.88,0.792,1.95,short,1
Andrena dorsata,Species,13.98,0.93,0.83,0.85,0.9,0.75,2.11,short,1
Andrena flavipes,Species,6.67,1,0,0,0,0.792,2.34,short,1
Andrena fucata,Species,19,0.5,1,1,1,0.792,2.45,short,1
Andrena fulva,Species,13.64,0.82,0.6,0.9,0.76,0.792,2.26,short,1
Andrena haemorrhoa,Species,9.2,0.89,0.77,0.89,0.99,0.834,2.65,short,1
Andrena helvola,Genus,8.2,0.9,0.55,0.89,0.88,0.792,1.89,short,1
Andrena minutula,Species,33,1,0.5,0.75,0.75,0.709,1.43,short,1
Andrena nigroaenea,Species,12.64,0.95,0.46,0.9,0.78,0.792,2.84,short,1
Andrena nitida,Species,6.33,0.88,0.65,0.85,1,0.792,2.97,short,1
Andrena ovatula,Genus,8.2,0.9,0.55,0.89,0.88,0.792,2.04,short,1
Andrena subopaca,Genus,8.2,0.9,0.55,0.89,0.88,0.792,1.49,short,1
Andrena synadelpha,Genus,8.2,0.9,0.55,0.89,0.88,0.792,2.31,short,1
Anthophora plumipes,Species,2.3,0.32,0.71,0.71,0.03,0.917,4.43,long,0
Bombus hortorum,Species,3.06,0.95,0,0.98,0.36,0.875,4.32,long,0
Bombus hypnorum,Species,3.25,0.82,0.19,0.94,0.63,0.917,4.7,medium,0
Bombus jonellus,Species,3.4,1,0,1,0,0.875,4.62,medium,0
Bombus lapidarius,Species,2.52,0.96,0.04,0.73,0.39,0.792,4.9,medium,0
Bombus magnus,Species,2.74,0.96,0.07,0.81,0.41,0.875,4.5,medium,0
Bombus pascuorum,Species,2.58,0.97,0.08,0.77,0.43,0.834,4.45,long,0
Bombus pratorum,Species,2.2,0.97,0.09,0.83,0.33,0.792,4.61,medium,0
Bombus terrestris,Species,2.9,0.97,0.08,0.85,0.42,0.875,4.49,medium,0
Bombus vestalis,Species,6,1,0,1,1,0.625,4.52,medium,0
Halictus rubicundus,Species,6.67,0.34,1,0.34,0.34,0.792,2.18,short,0
Halictus tumulorum,Species,15.63,0.5,0.63,0.88,0.25,0.792,1.49,short,0
Lasioglossum albipes,Species,13.6,0.77,0.58,0.89,0.77,0.667,1.64,short,0
Lasioglossum calceatum,Species,13.6,0.77,0.58,0.89,0.77,0.667,1.82,short,0
Lasioglossum cupromicans,Genus,12.94,0.97,0.75,0.69,0.79,0.625,1.42,short,0
Lasioglossum fulvicorne,Genus,12.94,0.97,0.75,0.69,0.79,0.584,1.31,short,0
Lasioglossum leucopus,Species,15,1,0,1,0,0.667,1.21,short,0
Lasioglossum leucozonium,Species,2.67,1,0,1,0.67,0.709,1.35,short,0
Lasioglossum malachurum,Species,10,0,1,1,0,0.667,1.33,short,0
Lasioglossum morio,Species,12.34,0.67,0.67,0.67,1,0.667,1.1,short,0
Lasioglossum parvulum,Species,4,0,0.5,0.5,0.5,0.667,1.25,short,0
Lasioglossum pauxillum,Genus,12.94,0.97,0.75,0.69,0.79,0.667,1.24,short,0
Lasioglossum smeathmanellum,Genus,12.94,0.97,0.75,0.69,0.79,0.625,1.26,short,0
Lasioglossum zonulum,Genus,12.94,0.97,0.75,0.69,0.79,0.667,1.31,short,0
Osmia bicolor,Species,11.5,1,0,1,0,0.917,2.7,long,0
Osmia bicornis,Species,2.89,1,0.12,0.67,0.67,0.917,3.14,long,0
