"","Size_max_mm","Trophic_group","Diurnal","Habitat"
"Abax parallelepipedus",22,1,"N",1
"Acupalpus meridianus",4,0,"N",1
"Anchomenus dorsalis",8,1,"N",1
"Agonum muelleri",10,0,"DN",1
"Amara aenea",8,0,"DN",1
"Amara familiaris",9,0,"D",1
"Amara ovata",10,0,"D",1
"Amara plebeja",8,0,"D",1
"Amara similata",10,0,"D",1
"Asaphidion stierlini",4,1,"D",1
"Badister bullatus",6,1,"D",1
"Bembidion aeneum",4,1,"DN",1
"Bembidion biguttatum",4,1,"D",1
"Bembidion bruxellense",5,1,"D",1
"Bembidion gilvipes",2,1,"N",1
"Bembidion guttula",3,1,"N",1
"Bembidion lampros",4,1,"D",1
"Bembidion lunulatum",4,1,"D",1
"Bembidion obtusum",3,1,"DN",1
"Bembidion properans",4,1,"D",1
"Bembidion quadrimaculatum",3,1,"D",1
"Bembidion tetracolum",6,1,"N",1
"Bradycellus verbasci",5,0,"N",1
"Calathus ambiguus",12,1,"N",1
"Calathus fuscipes",14,0,"N",1
"Calathus melanocephalus",9,0,"N",1
"Calathus rotundicollis",11,0,"N",1
"Carabus granulatus",30,1,"N",1
"Carabus nemoralis",28,1,"N",1
"Carabus problematicus",30,1,"N",1
"Carabus violaceus",38,1,"N",1
"Clivina fossor",7,1,"DN",1
"Demetrias atricapillus",6,1,"N",1
"Paradromius linearis",5,1,"N",1
"Harpalus affinis",12,0,"N",1
"Ophonus rufibarbis",9,0,"N",1
"Harpalus rufipes",16,0,"DN",1
"Leistus ferrugineus",8,1,"N",1
"Leistus spinibarbis",8,1,"N",1
"Loricera pilicornis",8,1,"DN",1
"Syntomus foveatus",3,1,"N",1
"Syntomus obscuroguttatus",3,1,"N",1
"Syntomus truncatellus",3,1,"N",1
"Nebria brevicollis",14,1,"N",1
"Nebria salina",13,1,"N",1
"Notiophilus biguttatus",6,1,"D",1
"Notiophilus substriatus",5,1,"D",1
"Patrobus atrorufus",10,1,"N",1
"Platyderus depressus",9,1,"N",1
"Poecilus cupreus",13,0,"D",1
"Pterostichus macer",15,1,"N",1
"Pterostichus madidus",20,0,"N",1
"Pterostichus melanarius",18,0,"DN",1
"Pterostichus niger",22,0,"N",1
"Pterostichus nigrita",12,1,"N",1
"Pterostichus strenuus",7,0,"N",1
"Pterostichus vernalis",7,1,"DN",1
"Poecilus versicolor",12,1,"D",1
"Stomis pumicatus",8,1,"N",1
"Synuchus vivalis",9,1,"N",1
"Trechus obtusus",4,1,"DN",1
"Trechus quadristriatus",4,1,"N",1
"Adalia bipunctata",5,1,"D",0
"Coccinella septempunctata",8,1,"D",0
"Harmonia axyridis",8,1,"D",0
"Hippodamia variegata",5.5,1,"D",0
"Propylea quattuordecimpunctata",4.5,1,"D",0
"Notiophilus aquaticus",6,1,"D",1
