Species,F.SDF,F.SSDF,F.SF,F.IF,F.PR,F.SL,F.GR,F.PA,F.SC,F.PH,EP.EF,EP.I,EP.EZ,EP.D,EP.P,AM.SW,AM.CR,AM.BU,AM.SE,DT.C,DT.H,DT.D,DT.PH,LD.D,LD.L,LD.P,SD.G,SD.HSEQ,SD.HSYN,AL,MA,FEC,MSG,ADP
Acromegalomma.vesiculosum,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,0,1,0,0,1,3,1,6,2,1
Actinia.spp.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6,2,2,3,1
Adamsia.palliata,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,1,6,2,2,1,1
Aequipecten.opercularis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0.25,0.25,0.5,0,0,0,1,0,0,1,3,2,6,2,4
Alcyonidium.diaphanum,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,0,0,1,3,2,2,4,1
Alcyonium.digitatum,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,6,3,4,3,6
Anseropoda.placenta,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,3,2,3,2,5
Aphrodita.aculeata,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0.5,0,1,0,0,0,0,1,0,1,0,0,3,2,5,3,5
Aporrhais.pespelecani,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,1,1,0,0,3,1,4,2,5
Ascidia.conchilega,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,2,1,4,3,1
Ascidia.mentula,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,2,1,4,3,1
Ascidia.virginea,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,2,1,4,3,1
Ascidiella.aspersa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,2,1,4,3,1
Aslia.lefevrei,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,3,5,4,3
Asterias.rubens,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,1,1,0,0,3,2,6,4,5
Astropecten.irregularis,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0.5,0.5,1,0,0,3,2,6,2,5
Atelecyclus.rotundatus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,3,5,2,4
Barnacle.species,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,1,4,2,1
Bispira.volutacornis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,2,1,6,2,1
Blenniidae.spp,0,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,3,2,4,4,5
Branching.sponges,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,1,3,1,3,3,1
Buccinum.undatum,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,1,0,0,5,5,5,2,5
Bugulidae,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,0,0,1,3,1,6,2,1
